year,city,country,avg_temp
1996,Baghdad,Iraq,23.96
1997,Baghdad,Iraq,22.74
1998,Baghdad,Iraq,24.33
1999,Baghdad,Iraq,24.42
2000,Baghdad,Iraq,23.90
2001,Baghdad,Iraq,24.45
2002,Baghdad,Iraq,23.76
2003,Baghdad,Iraq,23.88
2004,Baghdad,Iraq,23.72
2005,Baghdad,Iraq,23.58
2006,Baghdad,Iraq,23.82
2007,Baghdad,Iraq,23.92
2008,Baghdad,Iraq,24.09
2009,Baghdad,Iraq,23.87
2010,Baghdad,Iraq,25.49
2011,Baghdad,Iraq,23.44
2012,Baghdad,Iraq,24.34
2013,Baghdad,Iraq,25.14
